CIK,broad_bnpl_category,candidate_id,candidate_screening_status,candidate_source,candidate_source_url,category_confidence,company_name,detailed_bnpl_category,exchange,manual_review_required,sec_universe_rank,sic_code,sic_description,ticker
0000822663,Apparel & Personal Care,CTRL_CAND_0134,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,HIGH,INTERPARFUMS INC,Health & Beauty,Nasdaq,False,1119,2844,"Perfumes, Cosmetics & Other Toilet Preparations",IPAR
0000868780,Automotive,CTRL_CAND_0135,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,MEDIUM,"Dorman Products, Inc.",Automotive,Nasdaq,False,1121,3714,Motor Vehicle Parts & Accessories,DORM
0002052959,Entertainment,CTRL_CAND_0136,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,MEDIUM,Lionsgate Studios Corp.,Gaming & Entertainment,NYSE,False,1126,7812,Services-Motion Picture & Video Tape Production,LION
0001877787,Apparel & Personal Care,CTRL_CAND_0137,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,MEDIUM,Ermenegildo Zegna N.V.,Clothing & Accessories,NYSE,False,1127,2300,Apparel & Other Finishd Prods of Fabrics & Similar Matl,ZGN
0000932696,Apparel & Personal Care,CTRL_CAND_0138,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,LOW,INSIGHT ENTERPRISES INC,Clothing & Accessories,Nasdaq,True,1135,5961,Retail-Catalog & Mail-Order Houses,NSIT
0001815846,Apparel & Personal Care,CTRL_CAND_0139,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,LOW,MINISO Group Holding Ltd,Clothing & Accessories,NYSE,True,1137,5331,Retail-Variety Stores,MNSO
0001483934,Entertainment,CTRL_CAND_0140,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,LOW,Scorpio Tankers Inc.,Gaming & Entertainment,NYSE,True,1143,4412,Deep Sea Foreign Transportation of Freight,STNG
0001815779,Sports & Leisure,CTRL_CAND_0141,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,MEDIUM,Hafnia Ltd,Sports & Outdoor,NYSE,False,1147,4700,Transportation Services,HAFN
0000098222,Entertainment,CTRL_CAND_0142,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,LOW,TIDEWATER INC,Gaming & Entertainment,NYSE,True,1167,4400,Water Transportation,TDW
0001952073,Entertainment,CTRL_CAND_0143,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,MEDIUM,Madison Square Garden Entertainment Corp.,Gaming & Entertainment,NYSE,False,1182,7990,Services-Miscellaneous Amusement & Recreation,MSGE
0000925261,Automotive,CTRL_CAND_0144,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,MEDIUM,ANDINA BOTTLING CO INC,Automotive,NYSE,False,1185,2086,Bottled & Canned Soft Drinks & Carbonated Waters,AKO-A
0001636222,Entertainment,CTRL_CAND_0145,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,LOW,Wingstop Inc.,Gaming & Entertainment,Nasdaq,True,1186,5812,Retail-Eating Places,WING
0001958140,Entertainment,CTRL_CAND_0146,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,MEDIUM,"Atlanta Braves Holdings, Inc.",Gaming & Entertainment,Nasdaq,False,1198,7900,Services-Amusement & Recreation Services,BATRA
0001974138,Electronics & Technology,CTRL_CAND_0147,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,MEDIUM,NCR Atleos Corp,Computers & Tablets,NYSE,False,1199,3578,Calculating & Accounting Machines (No Electronic Computers),NATL
0000913241,Apparel & Personal Care,CTRL_CAND_0148,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,MEDIUM,"STEVEN MADDEN, LTD.",Clothing & Accessories,Nasdaq,False,1205,3140,"Footwear, (No Rubber)",SHOO
0001649313,Sports & Leisure,CTRL_CAND_0149,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,MEDIUM,BW LPG Ltd,Sports & Outdoor,NYSE,False,1206,4700,Transportation Services,BWLP
0001929561,Sports & Leisure,CTRL_CAND_0150,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,MEDIUM,"RXO, Inc.",Sports & Outdoor,NYSE,False,1213,4700,Transportation Services,RXO
0000837465,Kids & Toys,CTRL_CAND_0151,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,MEDIUM,Callaway Golf Co,Toys & Hobbies,NYSE,False,1217,3949,"Sporting & Athletic Goods, NEC",CALY
0001031203,Automotive,CTRL_CAND_0152,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,HIGH,GROUP 1 AUTOMOTIVE INC,Automotive,NYSE,False,1221,5500,Retail-Auto Dealers & Gasoline Stations,GPI
0002097163,Electronics & Technology,CTRL_CAND_0153,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,MEDIUM,Xanadu Quantum Technologies Ltd,Computers & Tablets,Nasdaq,False,1232,3571,Electronic Computers,XNDU
0001386716,Entertainment,CTRL_CAND_0154,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,LOW,Star Bulk Carriers Corp.,Gaming & Entertainment,Nasdaq,True,1236,4412,Deep Sea Foreign Transportation of Freight,SBLK
0001430162,Automotive,CTRL_CAND_0155,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,HIGH,Cosan S.A.,Automotive,NYSE,False,1237,5500,Retail-Auto Dealers & Gasoline Stations,CSAN
0001587523,Electronics & Technology,CTRL_CAND_0156,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,MEDIUM,Knowles Corp,TV & Audio,NYSE,False,1241,3651,Household Audio & Video Equipment,KN
0000048287,Home & Appliances,CTRL_CAND_0157,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,MEDIUM,HNI CORP,Home & Appliances,NYSE,False,1242,2522,Office Furniture (No Wood),HNI
0001528849,Home & Appliances,CTRL_CAND_0158,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,HIGH,RH,Home & Appliances,NYSE,False,1244,5712,Retail-Furniture Stores,RH
0001655891,Entertainment,CTRL_CAND_0159,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,LOW,TORM plc,Gaming & Entertainment,Nasdaq,True,1251,4412,Deep Sea Foreign Transportation of Freight,TRMD
0001617406,Entertainment,CTRL_CAND_0160,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,LOW,Park Hotels & Resorts Inc.,Gaming & Entertainment,NYSE,True,1258,7011,Hotels & Motels,PK
0001654126,Entertainment,CTRL_CAND_0161,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,LOW,ZIM Integrated Shipping Services Ltd.,Gaming & Entertainment,NYSE,True,1260,4412,Deep Sea Foreign Transportation of Freight,ZIM
0000069891,Automotive,CTRL_CAND_0162,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,MEDIUM,NATIONAL BEVERAGE CORP,Automotive,Nasdaq,False,1274,2086,Bottled & Canned Soft Drinks & Carbonated Waters,FIZZ
0002078008,Automotive,CTRL_CAND_0163,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,MEDIUM,Versigent PLC,Automotive,NYSE,False,1278,3714,Motor Vehicle Parts & Accessories,VGNT
0001811210,Automotive,CTRL_CAND_0164,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,MEDIUM,"Lucid Group, Inc.",Automotive,Nasdaq,False,1286,3711,Motor Vehicles & Passenger Car Bodies,LCID
